provider,dataProvider,title,collection,description,creator,publisher,contributor,type,identifier,language,temporal,spatial,subject,date,extent,format,standardizedRights,relation,isShownAt,preview,count
Big Sky Country Digital Network,Butte-Silver Bow Public Archives,1.0,1.0,0.996996996996997,1.0,0.8078078078078078,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9459459459459459,0.0,0.0,0.7027027027027027,0.0,1.0,1.0,333
Big Sky Country Digital Network,Choteau High School Library,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,64
California Digital Library,Orange Public Library and History Center,1.0,1.0,1.0,0.2751060820367751,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.946958981612447,0.0,0.0,0.0,0.0,1.0,1.0,1414
California Digital Library,Riverside Public Library,1.0,1.0,0.9929078014184397,0.7092198581560284,1.0,0.3120567375886525,1.0,1.0,1.0,0.0,0.9929078014184397,1.0,1.0,0.0,0.9787234042553191,0.0,0.0,1.0,1.0,141
California Digital Library,"UC San Francisco, Library, Special Collections",1.0,1.0,0.7735849056603774,0.4887518142235123,0.719521044992743,0.3309143686502177,0.9956458635703919,0.9974600870827286,0.37989840348330917,0.0039912917271407835,0.13751814223512338,0.829100145137881,0.9045718432510885,0.02177068214804064,0.3875181422351234,0.0,0.4234397677793904,1.0,0.9923802612481858,2756
Digital Commonwealth,Louisiana Public Broadcasting,1.0,1.0,1.0,0.9977578475336323,0.9932735426008968,0.002242152466367713,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,446
Digital Commonwealth,Vision Maker Media,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1
Digital Library of Georgia,Massie Heritage Interpretation Center,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,16
Digital Library of Tennessee,Arts Center of Cannon County,1.0,1.0,0.9952038369304557,0.014388489208633094,0.0,0.007194244604316547,1.0,0.9232613908872902,0.004796163069544364,0.9664268585131894,0.9952038369304557,1.0,0.9496402877697842,0.9784172661870504,1.0,0.0,0.0,1.0,1.0,417
Digital Library of Tennessee,Rutherford County Historical Society;,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
Digital Maine,Stockholm Historical Society,1.0,0.0,0.9534632034632035,0.050865800865800864,0.0,0.0,1.0,0.0,1.0,0.0021645021645021645,0.9978354978354979,1.0,0.04220779220779221,0.0,0.0,1.0,0.0,1.0,0.9967532467532467,924
Empire State Digital Network,SUNY Upstate Medical University. Health Sciences Library,1.0,1.0,0.9866803278688525,0.44979508196721313,0.030737704918032786,0.0235655737704918,1.0,1.0,1.0,0.0,0.7520491803278688,1.0,0.8954918032786885,0.9528688524590164,0.9938524590163934,0.0,0.0,1.0,1.0,976
Harvard Library,"General Artemas Ward House Museum, Harvard University",1.0,1.0,0.84,0.77,0.0,0.42,1.0,1.0,0.0,0.0,0.88,1.0,0.99,0.99,0.99,0.0,0.0,1.0,0.98,100
Indiana Memory,Carmel Clay Historical Society,1.0,1.0,0.36317780580075665,0.44136191677175285,0.3720050441361917,0.0,1.0,0.0,1.0,0.0,0.30012610340479196,0.3871374527112232,0.9344262295081968,0.0,0.0037831021437578815,0.0,0.0,1.0,1.0,793
Indiana Memory,Indiana University Libraries,1.0,1.0,1.0,0.6784140969162996,0.44933920704845814,0.0,1.0,0.0,1.0,0.0,0.9955947136563876,1.0,0.960352422907489,0.47577092511013214,1.0,0.0,0.0,1.0,1.0,227
Kentucky Digital Library,Eastern Kentucky University,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,340
Michigan Service Hub,Detroit Public Library,1.0,1.0,1.0,0.8380619816673941,0.0,0.0,1.0,0.0,0.005237887385421213,0.0,0.9048450458315146,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2291
Minnesota Digital Library,Stevens County Museum and Historical Society,1.0,1.0,1.0,0.08604651162790698,0.0,0.07209302325581396,1.0,0.0,0.0,0.0,0.0,1.0,0.9790697674418605,0.0,1.0,0.0,1.0,1.0,1.0,430
Mountain West Digital Library,Salt Lake City (UT) Public Library,1.0,1.0,1.0,0.875,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,8
Recollection Wisconsin,Wisconsin Department of Public Instruction,1.0,0.0513127997980308,0.13254228730118656,0.0,0.9981065387528402,0.8764832113102752,0.9981065387528402,0.0,0.9996844231254733,0.01836657409745014,0.007447614238828578,0.9988008078767988,0.9970335773794496,0.0,0.996907346629639,0.0,0.10047967684928048,1.0,1.0,15844
South Carolina Digital Library,Pawleys Island Civic Association,1.0,1.0,1.0,0.02522935779816514,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.4288990825688073,0.0,1.0,0.0,0.0,1.0,1.0,436
Biodiversity Heritage Library,Allen County Public Library Genealogy Center (archive.org),1.0,0.07734806629834254,0.9005524861878453,0.8232044198895028,0.6906077348066298,0.5469613259668509,1.0,1.0,1.0,0.011049723756906077,0.861878453038674,1.0,0.6077348066298343,0.0,1.0,0.0,0.3425414364640884,1.0,1.0,181
Biodiversity Heritage Library,Lewis & Clark Community College / NGRREC (archive.org),1.0,0.55,0.0,0.85,0.95,1.0,1.0,1.0,1.0,0.0,0.8,1.0,0.95,0.0,1.0,0.0,0.55,1.0,1.0,20
California Digital Library,Marin County Free Library,1.0,1.0,1.0,1.0,1.0,0.3115100316789863,1.0,1.0,1.0,0.0,1.0,0.9989440337909187,1.0,0.0,1.0,0.0,0.0,1.0,1.0,947
Digital Library of Georgia,Georgia Institute of Technology. Library and Information Center. Digital Initiatives,1.0,1.0,0.9976722532588455,0.16139044072004965,0.0,0.0,1.0,0.0,0.013656114214773432,0.0,1.0,1.0,0.999844816883923,0.0,0.035226567349472375,0.0,0.03677839851024209,1.0,1.0,6444
Digital Library of Georgia,Roosevelt Warm Springs Vocational Rehabilitation Campus,1.0,1.0,1.0,0.40860215053763443,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.010752688172043012,0.0,0.0,1.0,1.0,279
Digital Library of Georgia,University of North Georgia. Library Technology Center,1.0,1.0,0.9939393939393939,1.0,0.0,0.0,1.0,0.0,0.006060606060606061,0.0,1.0,1.0,1.0,0.0,0.11212121212121212,0.0,0.0,1.0,1.0,330
Empire State Digital Network,Lockport Public Library,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7330754352030948,1.0,0.9961315280464217,0.8646034816247582,0.0,1.0,0.0,0.0,1.0,1.0,517
Empire State Digital Network,Middleburgh Library,1.0,1.0,1.0,0.7440633245382586,0.08179419525065963,0.40105540897097625,1.0,1.0,1.0,0.029023746701846966,0.6490765171503958,0.6860158311345647,0.6490765171503958,0.5699208443271768,1.0,0.18733509234828497,0.0,1.0,1.0,379
