provider,title,collection,description,creator,publisher,contributor,type,identifier,language,temporal,spatial,subject,date,extent,format,rights,relation,isShownAt,preview
Ohio Digital Network,1.0,1.0,0.7328164825828377,0.434749362786746,0.18188190314358538,0.2772408666100255,0.9925764655904843,0.45054163126593033,0.37516992353440953,0.0,0.45657391673746817,0.9661533559898046,0.8021028037383178,0.2298853016142736,0.5979184367034834,0.9999893797790994,0.6537701784197111,1.0,0.8716758708581138
Minnesota Digital Library,0.9999834651710363,0.905243855657557,0.8212072409322998,0.5489249054207783,0.0,0.09983068335141142,0.8918093071245271,0.0,0.25289690203444537,0.0,0.011250297626921348,0.8108498240694199,0.909415593005106,0.12409885182147676,0.9107929442577846,0.8941142622820709,0.30914508320325934,1.0,0.9551509299187809
Digital Maine,1.0,0.0,0.8796698796698796,0.9291406791406791,0.04291879291879292,0.0,0.9996849996849997,0.0,0.8018963018963019,0.03211428211428211,0.717050967050967,0.998046998046998,0.8057550557550558,0.00870975870975871,0.0,1.0,0.0,1.0,0.8969318969318969
California Digital Library,1.0,1.0,0.818074530136787,0.5093834549087467,0.4975052873885559,0.28153870177216483,0.9962427939081635,0.7923583293233099,0.4956187174086007,0.08358907191592016,0.4841866981944803,0.8449273468728722,0.8319879837389565,0.27334975584002824,0.6009054686097488,1.0,0.3331006988594537,1.0,0.9756997889293609
Mountain West Digital Library,1.0,1.0,0.9320312367747001,0.6103033957035762,0.0,0.0,0.9329453695010423,1.0,0.606437213275499,0.08620453915079414,0.44464874254662795,0.8165640329139869,0.8269189950790491,0.27958007190656575,0.0,0.9810258861032293,0.5956356022142326,1.0,1.0
Digital Maryland,1.0,1.0,0.9989926847396627,0.9929683526972578,0.012420294957555842,0.0018483746039197277,0.999804404803818,0.0,0.006777373547705669,0.9989340061808082,0.0,0.9994621132104996,0.9992567382545084,0.0,0.9994621132104996,0.9998435238430544,0.0,0.9999902202401909,0.9999902202401909
J. Paul Getty Trust,1.0,0.9947281446110486,0.997668217808733,0.9944848282084816,0.015217413343877044,0.05217109198373835,0.9999898618165597,1.0,0.02480813487839249,0.0,0.06338392286870038,0.22526029785982948,0.9981142978801059,0.9952249155996229,0.8868781491732312,1.0,0.0,1.0,1.0
University of Washington,1.0,1.0,0.9444785124724225,0.6621273956284847,0.0,0.0,0.9856491369041326,1.0,0.030372234322245954,0.010220408393422286,0.7577622239608665,0.7571771936873118,0.8904372220225131,0.0,0.9946642419628823,0.9997673976020808,0.9512028363395432,1.0,1.0
Digital Library of Georgia,1.0,1.0,0.9827643449773522,0.46961951126966217,0.0,0.0,0.9996002344387868,0.0,0.29040088354964716,0.0,0.980641860874809,0.996873020228815,0.9712473701862975,0.0,0.1381308588522663,0.9745827023474369,0.2179128849860929,1.0,1.0
PA Digital,0.9999752880704925,1.0,0.6290492261635788,0.5646711195210122,0.4863060607772255,0.06071721079981925,0.8072857828739268,1.0,0.38443642679620427,0.0,0.5216370594215997,0.9086964810212381,0.8314928829643019,0.0,0.5908339923181202,0.9994633981021238,0.13196523384545866,1.0,0.9635322525982829
University of Virginia Library,1.0,1.0,0.30135215748657784,0.7040829853516273,0.10688009544641082,0.0,0.9999668588851329,0.8171273281633195,0.09683833764167826,0.0,0.6553655464969842,0.9924438258103002,0.8635911712069994,0.3432756677934646,0.9450520315503413,0.8904686153642208,0.0,0.9985086498309803,0.9985086498309803
HathiTrust,0.9999996351885455,0.0,0.5792344942363439,0.8608769629592338,0.9504075308758174,0.3308847188507564,0.9999460079047346,1.0,0.9892099716103726,0.0631302573890736,0.327659055970103,0.7207397500749687,0.9832803262289951,0.9427278849472227,1.0,1.0,0.04766152209553536,1.0,0.6420163566863738
OKHub,1.0,0.9948706059640073,0.0,0.5892427623380764,0.5071144985075492,0.2928777735918316,0.8571594169298983,0.995884892920277,0.056065918992281756,0.6471247379758697,0.6936563595792158,0.9891229798784787,0.5800852001043266,0.005612387824692575,0.8827001284763478,1.0,0.0,1.0,0.9105881898358787
Harvard Library,0.9984108967082861,1.0,0.6780930760499433,0.5286606129398411,0.3677639046538025,0.15987514188422247,0.7311577752553916,0.25913734392735527,0.46617480136208855,0.11350737797956867,0.43796821793416574,0.7179341657207718,0.9654937570942111,0.7190124858115777,0.44052213393870604,1.0,0.4712258796821793,1.0,0.533144154370034
Internet Archive,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Empire State Digital Network,0.979157326343898,1.0,0.743352564134146,0.735289915407468,0.1913776709217482,0.06337049755386184,0.7853212003566977,0.8452651337862671,0.42809388440827106,0.04689293649894321,0.3297753888448217,0.6608489799135846,0.7210343247624068,0.3870145290260281,0.7609509639213097,0.9939992018642874,0.6008927295748696,0.9999753661817089,0.9633719755829593
Recollection Wisconsin,0.9998172733401803,0.7030712780994747,0.8407736688782893,0.5634009001913379,0.1968953270282134,0.40217087673091506,0.9765437777371718,0.0,0.3660351045217497,0.09678632112425203,0.588335738184201,0.964576231672201,0.7540751195599438,0.0,0.5214997868188969,0.9889439869276927,0.06779579140596613,0.9997143583248796,0.9905990283982433
Kentucky Digital Library,1.0,0.0,0.020518503356225782,1.0,0.0,0.0,1.0,0.0,0.9977060496763765,0.0,0.36677089435829385,0.029150814881738037,0.6933306041206406,0.0,1.0,0.999512976700523,0.0,1.0,0.9996823761090368
The Portal to Texas History,0.9999975279817022,1.0,0.9998436448426591,0.7150226405975857,0.5434398505417737,0.06773206535274774,0.9999956739679787,1.0,0.7897678218614174,0.0,0.9783203995275973,0.9999721897941488,0.9145386194148609,0.0,0.9999925839451064,1.0,0.026606332940076423,1.0,1.0
United States Government Publishing Office (GPO),1.0,0.0,0.9988403914838351,0.6869636810612737,0.9992752446773969,0.14682383227422421,0.9957906210863212,0.9999246254464493,0.9998434528503177,0.024322788626559674,0.7951493575768821,0.9949962892527483,0.9988287953986734,0.9064485829583933,0.9982026067999443,1.0,0.4324064195927455,1.0,1.0
The New York Public Library,0.9938217469684048,1.0,0.3103762255203891,0.42174204089934314,0.36312988851781164,0.284159275845421,0.9972327339424918,0.00986497062630166,0.543972481455019,0.031639826614714685,0.43206988251044864,0.6918186111878486,0.8314122178020286,0.32972087778790654,0.9437546228125676,1.0,1.0,1.0,1.0
Biodiversity Heritage Library,1.0,0.2071738642495905,0.7168563364677004,0.672114002454644,0.9040396563498393,0.6389906351033195,0.9999426931360704,1.0,0.9279031896045349,0.014880682333726521,0.5103749301572595,0.9428555055181734,0.9304055893294619,0.0,1.0,0.7458774874760624,0.4060286820853968,1.0,1.0
Illinois Digital Heritage Hub,1.0,1.0,0.8531229102581249,0.6057930033053746,0.0,0.12260837998433291,0.8526528974569633,0.0,0.5021035938783699,0.1794684651980359,0.5723380270926078,0.786136532986874,0.8509600871243241,0.2722482278988899,0.6684843042473108,0.9999388601234261,0.09519478782552207,1.0,0.9999770725462848
ARTstor,0.9965729363456104,1.0,0.6715561523208793,0.7026963730893535,1.0,0.0,0.1445065496729067,0.0,0.0,0.002810348327062093,0.0,0.8319255569954254,0.85363549782198,0.0,0.8111133663289044,0.8006604318568596,0.0,1.0,1.0
Missouri Hub,0.9998399282878729,1.0,0.9017159687540018,0.6580814871729201,0.0,0.0,2.2410039697784608E-4,0.9141962265761728,0.9997705638792845,0.014112989285866734,0.29511354420113545,0.8387330857557519,0.3855113757630085,0.0,0.9351015921799632,0.9864259188116276,0.5762314850386306,1.0,0.9513915567507577
Indiana Memory,0.9986840851275961,1.0,0.7421503295285432,0.45678007726876185,0.23510523653478194,0.0,1.0,0.0,0.40337006165372746,0.1825016311479616,0.4507283350561188,0.9268805853072056,0.8040239870387883,0.06516161194073618,0.5763853761170614,0.7086769740555836,0.0,1.0,0.9992559032894206
Michigan Service Hub,0.9987065540003568,1.0,0.605357055970936,0.5716382568078239,0.07074217039427802,0.0013177741375675106,0.8363770537003098,0.6177076406571841,0.6833327927080461,0.001135313103135086,0.27251163695930714,0.5731790388763645,0.7122427299414503,0.05904033605267853,0.8474666299041471,0.9973036313800542,0.0,0.9999432343448432,0.9418192581539809
Sunshine State Digital Network,1.0,0.14745637228979375,0.6334955050237969,0.31808566895822316,0.13733474352194605,0.299227921734532,0.8756002115282919,1.0,0.5526493918561608,0.0,0.6425383395029085,0.8889899524061343,0.7258487572712851,0.7427921734531994,0.7677630883130618,1.0,0.0,1.0,1.0
South Carolina Digital Library,0.9999610711008536,0.9921641687289714,0.7735728387509385,0.6508355810138198,0.0,0.22175569335150017,0.8664071406723577,0.0,0.5410560854211273,3.6148263493034506E-4,0.7440146817562495,0.9106859828156717,0.6873063982426383,0.0,0.9733058977282206,0.9772710841698412,0.43168812390512473,1.0,0.9815310179907126
Smithsonian Institution,1.0,1.0,0.9742809050387263,0.08641280452736917,1.7263963546369006E-4,2.670300052598946E-4,1.0,0.1951624409139093,0.004937774289115948,0.7647146340513434,0.822871734014254,0.9559849635088234,0.7647146340513434,0.040118363418363036,0.09853161568592499,0.09688592485193169,0.0,1.0,1.0
David Rumsey,1.0,1.0,0.9969113888099972,0.999928997443908,0.9907933352267349,0.0,1.0,0.0,0.0,0.0,0.9865568493799111,0.37656205623402444,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Digital Library of Tennessee,1.0,1.0,0.9207325582044398,0.04295769537769393,0.6830530328825083,0.03708561955423576,0.9161666285242223,0.9532913208263328,0.7482542854431687,0.7219080897333564,0.7680585867945275,0.9141292638136118,0.8450095728232293,0.12200186432825574,0.8048037152601408,0.9997711453338767,0.0,1.0,1.0
University of Southern California Libraries,1.0,0.0,0.23074828898301328,0.13360431030662184,0.40008610483263374,0.21919378019208977,0.671788637960835,0.0,0.2235420742400932,0.0,0.37784826555743384,0.3909488625931483,0.3646223100153849,0.0,0.4237889925101458,0.40497382033213675,0.42685964279156935,1.0,1.0
North Carolina Digital Heritage Center,0.9999857542078509,1.0,1.0,0.5699076635238867,0.595079978251424,0.24481393808303872,0.9190102973334251,1.0,0.5874347364647168,0.0,0.6388929120061162,0.8112788685042156,0.8434150012939928,0.0,0.7837797410589847,0.9128846067092933,0.0,1.0,0.9813332636872384
Library of Congress,1.0,1.0,1.0,0.0,0.0,0.8756973889756751,0.9982146842222718,1.0,1.0,0.0,1.0,1.0,0.9991073421111359,0.0,1.0,1.0,0.0,1.0,1.0
Digital Commonwealth,0.9999511605695763,1.0,0.9507372945126187,0.7270707918499653,0.3386670815003473,0.39388277089604073,0.9999222186848807,0.9340324004399166,0.42711167226209773,0.011947571775874044,0.4578859400324149,0.8420695618198657,0.9469404810141236,0.8263052789997685,0.9996382264413058,0.9994229711738828,0.9999565871729567,0.9985149195415606,0.9982327361657791
Big Sky Country Digital Network,0.9999841749616243,0.9999208748081214,0.9009985599215078,0.8316848918358627,0.31852637242645315,0.0,0.9032140652941083,0.0,0.0,0.0,0.5994841037489516,0.9843806871231663,0.7873114842303492,0.04992799607539048,0.26068585716320364,0.9999841749616243,0.0,1.0,1.0
National Archives and Records Administration,1.0,0.9999919152910274,0.36672448537567426,0.9998774253800922,0.0,0.025617834763674827,0.999999217608809,1.0,2.9157111714247786E-4,0.0,0.02014996352753065,0.0399919257229099,0.43655707191661586,0.01010745099818772,0.9999963488411091,1.0,0.9999919152910274,1.0,0.9329894984846386
